"mz","rt","t.score","p.value"
105.00347,34.14,3.0092,0.0062
105.03352,506.82,-0.2074,0.8374
105.03367,232.98,0.9766,0.3416
105.03371,435.36,-2.6632,0.0102
105.03636,282.66,-1.2663,0.2118
105.18944,731.4,-0.9161,0.3684
105.44425,587.64,-4.496,1e-04
105.68893,677.7,-1.8463,0.0757
105.93497,778.62,-0.6624,0.5155
105.93497,169.8,-2.375,0.0272
105.93499,211.2,-2.651,0.0161
106.02827,205.74,4.5461,3e-04
106.04996,43.08,-6.8782,0
106.06532,180.36,-5.1296,0
106.08402,167.4,-4.0445,1e-04
106.08634,246.78,-1.3716,0.1844
106.19286,723.84,-7.7847,0
106.44482,745.68,-5.3309,0
106.52021,606.3,1.3241,0.1981
106.52023,757.62,1.0602,0.3009
106.52029,770.1,-0.7133,0.4799
106.58794,523.92,-0.625,0.5383
106.9507,38.58,-0.465,0.6451
106.9639,680.7,1.95,0.0586
106.96391,766.98,1.9302,0.0608
106.96392,697.08,2.0153,0.0516
106.96392,610.56,1.5707,0.1263
106.96392,592.38,1.3525,0.186
106.96393,672.6,1.7314,0.0924
106.96393,579,0.3227,0.7494
106.96394,758.46,2.0732,0.0439
106.96394,565.74,2.1884,0.0353
107.00105,34.08,3.1258,0.0046
107.02846,769.38,-0.4991,0.6206
107.0492,81.36,-0.6667,0.5094
107.04927,232.44,2.5485,0.0222
107.04928,204.54,2.9234,0.0074
107.04929,163.2,6.1232,0
107.04932,529.68,2.6381,0.014
107.07043,565.62,0.935,0.3559
107.08562,474.54,0.6963,0.4956
107.72688,38.04,-0.8301,0.4129
107.82735,535.08,-1.6689,0.1071
107.95061,155.34,-2.2347,0.0357
107.95061,211.8,-3.2896,0.0043
107.95063,179.22,-3.1652,0.0055
108.02574,120.3,3.1231,0.0064
108.05789,474.48,-1.7114,0.0955
108.07613,504.12,-1.4469,0.1615
108.30888,474.84,-2.3562,0.0233
108.31136,37.92,-1.9514,0.0594
