"mz","rt","t.score","p.value"
232.05934,340.29,-2.7218,0.0116
232.00059,454.33,-1.8131,0.0875
232.88389,71.34,-2.751,0.0128
233.06233,340.69,-2.4629,0.0212
233.15553,1090.38,-0.5933,0.5589
234.84917,1622.97,1.069,0.3004
234.85944,77.42,-4.0782,4e-04
234.88833,1655.48,-0.3051,0.7628
234.84999,1637.15,2.963,0.0139
235.00887,97.18,-0.1429,0.8885
234.85172,1672.28,1.1853,0.2481
235.13429,626.57,-3.2685,0.0035
236.10576,626.55,-4.3396,3e-04
236.95232,88.86,-1.6399,0.1198
236.85636,77.11,-3.7888,8e-04
236.93987,1646.08,0.0024,0.9981
237.08604,341.48,-3.4868,0.0026
237.0163,387.25,-1.9584,0.0668
237.10922,626.99,-2.8613,0.0105
238.00462,340.61,-3.4816,0.0019
238.07826,500.61,-0.1062,0.9163
238.02545,184.25,-3.1751,0.0048
238.57989,500.61,-0.2198,0.8278
238.93248,1645.38,2.8866,0.0172
238.93259,1673.32,4.2034,5e-04
238.93255,1623.03,-6.2163,0
239.07957,504.47,0.6241,0.5405
239.09298,462.87,-0.1524,0.8811
238.98447,90.28,-1.9005,0.0744
239.09305,427.68,1.5042,0.1668
239.01683,75.68,-2.0891,0.0534
239.12936,652.27,-2.9699,0.0065
239.16586,689.31,-2.7955,0.0103
239.57967,502.66,-0.0906,0.9286
240.00216,340.23,-3.5567,0.0015
240.09641,465.05,-0.0118,0.9908
240.04853,89.41,-0.7136,0.4818
240.13287,653.81,-3.7045,0.0013
240.79383,1620.87,2.2138,0.0386
241.21791,1236.91,-0.5575,0.5855
241.03941,370.15,-2.6761,0.0135
241.75872,1616.54,-4.3488,4e-04
242.17679,537.8,-5.4513,0
242.17681,510.71,2.5774,0.0171
242.22168,1234.28,-0.4513,0.6589
242.7908,1621.04,4.6167,4e-04
242.79043,72.69,2.1331,0.0435
242.88487,565.29,4.3091,4e-04
242.88475,520.41,4.0032,5e-04
242.88507,591.24,0.4996,0.6219
242.88491,630.35,0.768,0.4544
243.06258,268.1,-1.9572,0.0655
243.03365,541.94,-0.7414,0.4676
243.0626,147.45,-5.326,0
243.75573,1616.54,-3.8314,0.0013
244.82499,72.56,-2.4358,0.0262
244.78815,1620.99,3.5875,0.0017
244.90856,643.69,-0.8218,0.4187
244.87855,1647.04,0.3387,0.7392
244.879,1674.44,3.6511,0.0031
244.87926,1661.15,3.9918,0.0025
244.87767,1622.91,0.6141,0.5453
245.04921,538.19,2.5112,0.0328
244.88529,67.11,-4.3053,2e-04
245.06762,522.91,1.8808,0.0815
246.0759,469.42,0.5739,0.572
246.00823,335.49,-1.8839,0.0709
246.05247,537.57,2.1285,0.062
246.57717,467.83,0.4663,0.6452
246.82268,72.15,-4.2942,3e-04
246.9056,643.66,-0.8997,0.3766
246.87436,1623.29,-0.4894,0.6303
246.87449,1645.97,3.0034,0.0142
246.95132,531.16,-1.667,0.1132
246.87476,1664.4,3.2744,0.0095
246.87427,1677.75,7.8617,0
246.9816,91.96,-3.1547,0.0042
247.04542,386.54,-2.0352,0.0574
247.1713,1094.41,-2.6671,0.0131
247.01141,335.04,-2.0687,0.0493
248.03343,339.36,-3.6052,0.0014
248.05449,184.06,-2.9939,0.0071
248.838,85.05,0.4432,0.6651
248.96166,1623.09,-5.1873,0
248.96134,1645.68,4.3998,5e-04
248.96108,1672.03,2.492,0.0308
248.90334,643.69,-0.9793,0.3365
248.96084,108.76,0.1433,0.8885
248.97782,73.34,0.2327,0.8203
249.03753,340.69,-3.0181,0.0057
249.18683,947.74,-6.5433,0
250.14577,1125.09,-2.521,0.0182
250.83358,71.14,-5.1795,1e-04
250.82301,1622.84,3.8902,0.001
250.83507,84.97,-0.6836,0.5046
251.16626,1150.75,2.5436,0.0209
251.14904,1124.22,-2.5101,0.0188
251.99575,341.46,-2.5298,0.0194
252.04715,104.12,-2.5939,0.0182
252.83032,71.1,-5.2127,0
252.81992,1622.54,1.9616,0.0666
252.83105,84.44,-0.6975,0.4974
252.91388,673.59,-0.0303,0.9764
252.91375,634.1,-0.1674,0.8698
253.21837,1186.67,-4.3479,2e-04
253.08353,668.6,-0.8759,0.3924
253.21825,1205,-6.6406,0
253.99978,183.59,-3.8436,9e-04
254.22161,1186.88,-4.3568,2e-04
254.41698,1325.13,-0.7935,0.4385
254.62383,565.88,-0.5757,0.5706
254.81831,1622.76,-0.0889,0.9299
254.9067,1645.59,2.7334,0.0156
254.90675,1673.45,3.3791,0.0037
254.90688,1660.31,7.3928,0
254.90662,1622.91,-2.5868,0.017
255.0879,345.46,1.2916,0.2279
254.99532,455.26,0.4331,0.6686
254.98053,73.3,-2.6635,0.0132
255.12512,565.8,-0.5531,0.5854
255.23381,1322.59,-1.1916,0.2456
255.23362,1367.59,-2.9208,0.0074
255.23324,1396.55,0.5668,0.5812
255.23371,1298.72,-1.5705,0.1352
255.63158,605.56,-1.3432,0.1956
255.62482,565.48,-0.2907,0.774
256.13323,606.01,-1.31,0.2065
256.23719,1322.37,-0.3751,0.7132
256.23697,1366.99,-2.7557,0.0108
