	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	Dataset_0	mean	maxint	pzq_neg_20180203_1_3	pzq_neg_20180203_1_4	pzq_neg_20180203_1_5	isotopes	adduct	pcgroup
102	329.246738907542	329.246704810949	329.246773004135	23.2310247421265	23.231016159058	23.231033325195	2	2	258937.746444811	68745.0625	303397.014432048	303924.334799107	169491.890103277			62
862	774.578968443333	774.577616630286	774.58197138708	27.701000213623	27.667182922363	27.701017379761	3	3	704988.0353769	74347	679916.93374446	633302.441751067	801744.730635172			59
761	685.531132336257	685.518949557159	685.534209294795	28.694383621216	28.660600662231	28.694400787354	3	3	418136.61172504	103427.375	739696.649911737	319511.367558129	195201.817705254	[141][M]+		5
144	382.17504608494	382.173341340819	382.176750829061	24.991949081421	24.991949081421	24.991949081421	2	2	298387.337122933	67066.5625	325217.249367356	361232.779679744	208711.982321699	[23][M]+		52
861	774.527252349774	774.52563200618	774.532844653419	27.114017486572	27.08021736145	27.114032745361	3	3	386830.466153709	85281.375	389416.35320602	568007.060128373	203067.985126734	[158][M]+		46
319	481.311352580954	481.307442991717	481.314152800425	20.510499954224	20.5103504536943	20.510517120361	3	3	272269.891151722	107145.75	548506.413753175	95092.6628618557	173210.596840135	[47][M+1]+		22
574	590.350206535684	590.349635276535	590.350777794833	17.5596086451212	17.5436176198323	17.57559967041	2	2	212308.830887376	78390.0625	349260.599928867	126420.975051948	161244.917681312			56
52	279.232465164073	279.229766359029	279.232532873023	17.022466659546	17.022449493408	17.0277828267413	3	3	330635.828242785	79073.8125	544315.247435583	175492.434117244	272099.803175528	[3][M]+		9
312	480.364604109679	480.36072413559	480.367110058644	18.015832901001	18.0156834004723	18.015850067139	3	3	340594.659617735	53084.59375	359413.280306509	335079.080448213	327291.618098483			2
356	498.259631621849	498.257511134778	498.26175210892	15.8228334147137	15.814666748047	15.8310000813803	2	2	169356.733424065	138804.875	463541.49240334	15211.0363142202	29317.6715546347			32
268	453.279404103812	453.278780573111	453.280027634512	17.9165408732097	17.9032492879233	17.929832458496	2	2	180485.003139867	97941.125	333063.072512409	101506.706886537	106885.230020654	[40][M+1]+		23
530	573.4506006939	573.448962871506	573.455656334841	25.059600830078	25.059600830078	25.059616088867	3	3	283854.482559908	88698.5	526746.066604369	253053.552617675	71763.8284576791	[92][M]+		21
326	482.314028399529	482.311602000109	482.316454798949	17.541784286499	17.541784286499	17.541784286499	2	2	199439.172780447	67553.375	304455.896572401	109076.82463218	184784.79713676			63
819	733.547999269894	733.546554979839	733.549443559949	23.1123666763305	23.038999557495	23.185733795166	2	2	539948.421364085	57873.8125	660111.749181233	569006.763248768	390726.751662254			69
1114	995.608719745252	995.602927397648	995.611504024204	5.8663833141325	5.836016654968	6.061850070953	4	3	470267.916816862	62041.78125	765355.565864757	378874.169520026	266574.015065802			67
551	583.254437573628	583.253798116546	583.259823443395	26.000833511353	26.000816345215	26.019149780273	3	3	352367.615017269	69531.0625	533054.574762486	226753.362051175	297294.908238144	[95][M]+		61
507	567.317520799176	567.313670317297	567.321371281055	12.4564414024355	12.439533233643	12.473349571228	2	2	177033.092780291	79102.8125	214516.870735695	8733.61597355927	307848.791631618			55
652	619.290614158045	619.287598277348	619.292807423286	16.66130065918	16.627500534058	16.703133209229	3	3	394005.358525487	51754.3125	457833.425931223	362699.497737774	361483.151907465	[118][M]+		73
780	696.771583656164	696.768494284863	696.773926673825	6.863216876984	6.829400062561	6.863233566284	3	3	208741.431250732	107041.6875	500513.436308737	104977.97904662	20732.8783968406	[146][M]2+		47
505	566.406708768432	566.406392362569	566.407025174295	18.6022342020667	18.6016508687333	18.6028175354	2	2	207727.197685425	60467.78125	328744.95220523	98125.3544063568	196311.286444688			3
68	284.265192128129	284.264187630724	284.266196625533	26.96729183197	26.967283248901	26.967300415039	2	2	221110.005132516	56435.3125	187210.808805041	283633.305273392	192485.901319114	[9][M+1]+		24
293	467.371281190173	467.370385298149	467.378868076734	24.438816070557	24.43878364563	24.619367599487	3	3	258920.55071707	83841.3125	235139.884385109	502276.582485113	39345.1852809865			51
380	508.329197060845	508.328870646505	508.329502273998	18.6028175354	18.6016508687333	18.602832794189	3	3	242479.42817129	63377	365298.318023941	148335.862935176	213804.103554752	[59][M]+		3
781	697.26988384581	697.262662675873	697.271034932508	6.89704990387	6.89704990387	6.923966884613	3	3	295018.062416734	83359.875	517580.670499949	205304.271939096	162169.244811156	[146][M+1]2+		47
47	270.797356244487	270.796049625041	270.798662863934	0.6400166749955	0.613933324814	0.666100025177	2	2	245811.811026347	53819.0625	154790.824768168	290981.949206021	291662.659104852			71
715	653.30166001957	653.300093962737	653.303226076403	20.5105085372925	20.510499954224	20.510517120361	2	2	342170.425827277	71201.6875	465088.192383659	319439.357358306	241983.727739864			22
1104	985.830242778038	985.820826610095	985.832040021982	26.967283248901	26.967283248901	26.967300415039	3	3	251375.904462696	50599.25	254710.863369083	340237.923457945	159178.92656106	[195][M]+		24
604	605.404242230046	605.40211389124	605.40508844618	28.107416152954	28.073583602905	28.141250610352	3	3	290393.321312858	120721.25	815735.336660265	27455.3966653651	27989.2306129445	[109][M]+		45
340	492.345447539336	492.345081031094	492.347367562028	19.07688331604	19.0755499827067	19.122150421143	3	3	165991.753609537	75158.125	338353.892274005	79016.3757009908	80604.992853614	[53][M]+		48
1208	1052.65410716398	1052.64206843019	1052.65616727561	18.015832901001	18.0156834004723	18.015850067139	3	3	246893.737463628	43580.3125	239093.817437251	244650.887628561	256936.507325073	[210][M]+		2
287	464.315303641969	464.30876408698	464.317039057413	21.244216918945	21.210416793823	21.244249343872	3	3	273194.188995084	63069.125	420943.162659608	153314.968041344	245324.436284299			66
876	793.535241641311	793.531798812145	793.542851490159	29.055532455444	29.021699905396	29.05556678772	3	3	416472.022545808	53313.5625	405412.716625499	365768.487293148	478234.863718777	[160][M+1]+		44
418	531.318827177018	531.318464995372	531.319189358664	17.948191642761	17.948183059692	17.94820022583	2	2	180214.114496002	70084	256575.642045021	128461.353981451	155605.347461533	[67][M+1]+		2
1057	947.608129065928	947.598710769797	947.612604931128	17.98201751709	17.98201751709	17.98201751709	3	3	110910.030708116	87576.875	228707.253933934	37035.9335935898	66986.9045968231	[187][M]+		2
1144	1025.63086686714	1025.62444432433	1025.63757581126	18.015850067139	18.0156834004723	18.049667358398	3	3	257822.039646519	41679.1875	298095.462145996	229742.219016255	245628.437777307	[199][M]+		2
