id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	R449_LG_M	QC_1	QC_2	QC_3	QC_4	QC_5	R446_HG_M	R446_LG_M	R449_HG_M	R455_HG_M	R455_LG_M	R456_HG_M	R456_LG_M	R457_HG_M	R457_LG_M
F16330	115.1121	402.36	399.69	405.57	3008	29723850	1	0.95	1922	15	1790768	2055658	1905339	2042157	1889943	2025316	2071210	2167887	1768476	1988397	2014260	1873194	2242360	2077649	1834236
F16331	115.1121	464.4	462.53	467.61	3008	7180075	1	0.76	696	15	494375	475286	483463	337962	404674	532679	416375	695252	371758	384395	406380	318275	450036	764342	664823
F16332	211.0391	44.17	42.57	46.31	6496	13978257	1	0.96	104	15	953213	720879	802352	808513	866707	758976	101721	332470	834051	218474	724353	1450095	1710878	1777990	1971631
F16333	211.0391	54.33	51.93	57.27	6496	27800508	1	0.83	688	15	2893515	1387532	1517090	1902220	1774662	1510613	1333248	454558	1791482	3277942	2766291	1588249	859190	2616439	2251017
F16337	211.0639	327.71	324.77	330.92	6497	40143160	0.83	0.9	1968	15	2349871	2512552	2550857	2678577	2804596	2724957	2585128	3060013	2482091	2711434	2643297	2895626	2938904	2982341	2237097
F16341	214.1414	55.94	52.99	59.15	6603	1303397603	1	0.89	18	15	178500992	172979938	211623994	223080910	225851869	229949371	288563607	420402677	148293603	199576939	241448611	177546886	252842556	171549609	156044817
F16349	211.0926	533.4	530.46	536.07	6499	11937555	0.81	0.95	15	15	743506	764743	767923	1072576	805541	833638	747804	857423	777318	740877	979749	518725	816878	758959	773895
F16353	154.9969	201.68	198.47	204.62	4545	3929925	0.76	0.89	3	13	305316	386677	0	365056	189280	450299	562655	339457	177147	114757	0	284429	164632	465215	103788
F16354	154.9969	211.6	208.37	213.74	4545	3624672	0.76	0.93	5	13	45947	223649	164291	482194	488824	392924	173471	319138	92348	708317	0	0	192197	317092	78862
F16355	154.9969	216.42	213.74	219.09	4545	3862641	0.75	0.95	4	14	329142	63890	181801	405463	305431	413218	504290	403633	180610	61425	0	368093	123514	440762	163452
F16357	154.9969	229.55	228.21	232.22	4545	2251041	0.75	0.96	4	12	0	51631	109932	181229	377517	174523	71369	249999	165098	138491	0	326467	61173	341427	0
F16358	154.9969	238.13	234.9	239.46	4545	6412492	0.77	0.84	5	14	386772	131735	294013	612554	324345	216586	484289	274490	197080	535951	0	206581	237867	322087	63869
F16359	154.9969	240.26	241.33	243.47	4545	3085711	0.76	0.95	5	9	86480	140930	0	100651	0	140378	124205	135680	0	81840	0	193619	0	67483	0
F16360	154.9969	248.55	245.35	249.89	4545	7463523	0.77	0.95	6	14	47766	342091	58461	493941	448382	227253	275755	602990	190524	474021	0	226906	318756	595815	312605
F16361	154.9969	250.69	251.76	253.37	4545	3991233	0.77	0.98	7	8	45432	0	0	222799	184168	0	143368	73140	0	0	0	74467	0	365418	58122
F16362	154.9969	260.05	256.84	263.26	4545	5473314	0.76	0.97	6	14	197646	308211	195289	475660	406399	420606	634562	417778	553275	617412	0	270006	140089	661477	184550
F16363	154.9969	269.41	266.74	272.35	4545	5478684	0.77	0.95	6	13	291771	0	110196	507012	756803	295328	727350	634164	230845	423735	0	268645	213351	773837	223219
F16364	154.9969	276.9	273.96	280.11	4545	7004946	0.76	0.97	6	14	558272	459064	144613	816302	386143	363976	576292	986229	351326	635617	0	568494	301952	435428	373289
F16365	154.9969	285.19	281.98	287.87	4545	4648623	0.76	0.96	5	14	266586	287896	159495	983526	152800	180427	583039	223861	227412	353492	0	299596	370749	230642	196946
F16366	154.9969	291.88	288.67	294.55	4545	5534413	0.77	0.91	5	14	174897	339113	301710	543821	451693	403977	766155	701591	337470	494924	0	366669	130084	438305	185268
F16367	154.9969	299.1	295.89	302.04	4545	6273726	0.77	0.94	7	14	294505	390032	278852	643433	616180	144169	625207	369969	344608	787313	0	540945	512877	461642	324397
F16368	154.9969	306.05	302.84	307.92	4545	3521954	0.75	0.82	3	14	237487	282038	269363	121648	198378	247726	194238	195713	533248	211869	0	383312	318129	350226	125079
F16372	154.9969	394.07	392.2	395.68	4545	6623783	0.77	0.95	3	14	450131	770393	306038	801352	371123	293025	856228	436459	396083	319278	0	321162	95108	557065	609942
F16374	154.9969	399.42	397.55	401.56	4545	9097496	0.78	0.86	3	14	800471	1006185	645244	622471	716627	396893	932742	614545	966428	743179	0	254869	428919	592260	449718
